EmployeeID,Department,Gender,Age,TenureYears,AnnualSalary,SatisfactionScore,PerformanceRating,OverTime,WorkFromHome,Education,Attrition
EMP9000,Finance,Male,22,5.4,456000.0,3,4,No,Yes,Master's,No
EMP9001,Marketing,Male,23,12.2,507000.0,3,3,No,Yes,Diploma,No
EMP9002,Sales,Female,50,11.1,2068000.0,5,5,Yes,No,Bachelor's,No
EMP9003,Operations,Male,49,14.7,1232000.0,1,3,No,No,Bachelor's,Yes
EMP9004,Sales,Female,25,3.9,485000.0,1,3,Yes,Yes,Bachelor's,Yes
EMP9005,Operations,Female,36,3.4,1458000.0,2,2,Yes,No,Bachelor's,Yes
EMP9006,Sales,Female,52,4.1,1097000.0,5,3,No,Yes,Master's,No
EMP9007,Operations,Female,57,14.0,1208000.0,4,1,Yes,No,Bachelor's,No
EMP9008,Sales,Female,53,9.2,1880000.0,2,3,No,Yes,Master's,Yes
EMP9009,Sales,Female,34,9.0,1238000.0,4,4,No,Yes,Master's,No
EMP9010,Engineering,Male,44,9.5,1433000.0,2,4,Yes,No,Bachelor's,No
EMP9011,HR,Male,25,6.2,518000.0,2,2,No,No,Master's,No
EMP9012,Customer Support,Female,25,6.7,2040000.0,3,4,Yes,Yes,Master's,Yes
EMP9013,HR,Male,45,10.1,1758000.0,1,4,No,No,Bachelor's,No
EMP9014,Marketing,Male,30,2.2,551000.0,4,1,No,Yes,Bachelor's,No
EMP9015,Customer Support,Female,43,9.1,523000.0,2,1,No,No,Bachelor's,No
EMP9016,Sales,Female,50,1.1,533000.0,3,1,No,No,Bachelor's,No
EMP9017,HR,Female,40,0.7,990000.0,1,5,No,Yes,Master's,Yes
EMP9018,Finance,Female,31,6.0,523000.0,1,3,Yes,No,PhD,No
EMP9019,Marketing,Male,38,9.9,571000.0,3,2,No,No,Master's,No
EMP9020,Operations,Male,54,3.5,1240000.0,1,5,Yes,Yes,Master's,Yes
EMP9021,HR,Female,44,11.4,964000.0,2,1,No,Yes,Master's,Yes
EMP9022,Engineering,Male,44,11.6,1703000.0,4,1,No,Yes,Bachelor's,No
EMP9023,Sales,Male,30,12.5,1805000.0,1,5,No,No,Master's,No
EMP9024,Sales,Female,39,10.0,710000.0,4,1,Yes,Yes,Bachelor's,No
EMP9025,Operations,Male,37,12.8,893000.0,5,1,No,No,Diploma,Yes
EMP9026,Marketing,Male,42,5.4,631000.0,1,1,No,No,Master's,No
EMP9027,Finance,Male,21,7.4,1917000.0,5,1,No,No,Master's,Yes
EMP9028,HR,Female,30,7.8,363000.0,5,4,No,No,Bachelor's,No
EMP9029,Operations,Male,42,1.2,342000.0,5,5,No,Yes,Diploma,No
EMP9030,Marketing,Female,24,14.1,2179000.0,2,4,No,Yes,Bachelor's,No
EMP9031,Operations,Male,33,4.6,445000.0,3,4,No,No,Bachelor's,No
EMP9032,Sales,Female,26,13.6,1219000.0,3,1,Yes,No,Bachelor's,No
EMP9033,Sales,Female,41,3.3,1887000.0,3,3,No,Yes,Bachelor's,Yes
EMP9034,HR,Male,51,12.8,1256000.0,2,3,No,No,Diploma,No
EMP9035,HR,Female,27,4.9,1817000.0,3,3,Yes,No,Diploma,No
EMP9036,Marketing,Female,33,8.5,1649000.0,5,5,No,No,Master's,No
EMP9037,Sales,Female,43,9.7,1577000.0,1,1,Yes,No,PhD,No
EMP9038,Customer Support,Male,31,11.1,2117000.0,3,2,No,No,Bachelor's,No
EMP9039,Sales,Male,22,10.1,520000.0,3,4,Yes,Yes,Diploma,No
EMP9040,Operations,Male,56,11.5,331000.0,4,4,Yes,Yes,Bachelor's,No
EMP9041,Customer Support,Male,54,3.6,1962000.0,2,1,No,No,Bachelor's,Yes
EMP9042,Operations,Female,47,9.7,559000.0,5,3,No,No,Diploma,No
EMP9043,Sales,Female,51,5.6,1689000.0,1,2,Yes,Yes,Bachelor's,No
EMP9044,Finance,Female,48,3.3,1311000.0,5,4,No,Yes,PhD,No
EMP9045,Engineering,Female,42,13.3,783000.0,2,1,Yes,Yes,Bachelor's,Yes
EMP9046,Operations,Male,50,4.2,498000.0,2,4,Yes,Yes,PhD,No
EMP9047,Engineering,Male,48,2.3,612000.0,2,4,No,No,Bachelor's,No
EMP9048,Operations,Female,39,0.9,309000.0,4,2,No,Yes,PhD,Yes
EMP9049,Sales,Female,49,4.1,1562000.0,5,1,No,No,Bachelor's,No
EMP9050,Operations,Male,54,10.7,482000.0,2,4,No,No,Bachelor's,Yes
EMP9051,Customer Support,Male,54,0.3,1999000.0,5,5,Yes,No,PhD,No
EMP9052,Customer Support,Female,37,9.5,1212000.0,2,1,No,Yes,Diploma,No
EMP9053,HR,Male,49,5.6,1831000.0,2,1,No,No,Bachelor's,No
EMP9054,Marketing,Female,25,13.9,1657000.0,1,4,No,No,Bachelor's,No
EMP9055,Engineering,Male,26,2.3,812000.0,5,4,No,No,Bachelor's,No
EMP9056,Sales,Female,27,6.4,899000.0,2,5,Yes,No,PhD,Yes
EMP9057,HR,Female,36,14.5,1837000.0,2,4,No,No,Bachelor's,Yes
EMP9058,Marketing,Male,29,12.2,1176000.0,2,4,Yes,No,Bachelor's,Yes
EMP9059,Marketing,Male,43,2.6,1304000.0,1,4,No,Yes,Master's,Yes
EMP9060,Engineering,Female,24,13.8,328000.0,5,5,Yes,No,Master's,Yes
EMP9061,Sales,Male,55,3.6,2114000.0,5,5,No,No,Bachelor's,Yes
EMP9062,Operations,Female,27,5.4,1201000.0,4,5,No,No,PhD,No
EMP9063,Finance,Male,49,6.2,698000.0,5,4,No,No,Bachelor's,No
EMP9064,HR,Female,24,2.3,1489000.0,3,5,Yes,No,Master's,No
EMP9065,Sales,Female,44,7.7,1355000.0,4,3,No,No,Bachelor's,No
EMP9066,HR,Female,43,9.8,1586000.0,4,1,No,Yes,Bachelor's,No
EMP9067,Sales,Female,29,14.4,2106000.0,3,3,Yes,Yes,Master's,No
EMP9068,Engineering,Female,42,13.1,1482000.0,3,3,Yes,No,Diploma,No
EMP9069,Sales,Female,29,11.6,912000.0,4,1,Yes,No,Master's,Yes
EMP9070,Sales,Male,39,13.9,439000.0,1,2,No,Yes,Master's,No
EMP9071,Finance,Male,51,2.6,513000.0,3,1,No,No,Master's,No
EMP9072,Sales,Male,33,1.2,1015000.0,2,1,Yes,No,Master's,No
EMP9073,Operations,Male,43,2.2,2019000.0,2,3,No,Yes,Bachelor's,No
EMP9074,Customer Support,Male,44,0.7,874000.0,5,2,Yes,No,Master's,No
EMP9075,HR,Male,33,9.2,567000.0,1,3,No,Yes,Master's,No
EMP9076,Operations,Male,22,2.2,1141000.0,2,4,Yes,No,Diploma,Yes
EMP9077,Engineering,Male,25,7.4,1116000.0,4,4,No,No,Bachelor's,No
EMP9078,Sales,Male,26,7.3,1292000.0,4,3,Yes,No,Bachelor's,No
EMP9079,Sales,Female,47,15.0,707000.0,2,5,Yes,No,Bachelor's,Yes
EMP9080,Customer Support,Female,53,12.4,1356000.0,3,1,Yes,No,Diploma,No
EMP9081,HR,Male,39,11.4,2171000.0,5,4,Yes,No,Master's,No
EMP9082,HR,Female,30,6.3,1296000.0,5,2,Yes,No,Bachelor's,No
EMP9083,Customer Support,Male,28,1.9,391000.0,3,5,Yes,Yes,Bachelor's,No
EMP9084,Sales,Female,42,1.6,1122000.0,1,5,No,Yes,Master's,No
EMP9085,Engineering,Female,42,2.0,1911000.0,4,1,No,Yes,Master's,No
EMP9086,Sales,Male,53,8.2,2003000.0,3,2,Yes,Yes,PhD,No
EMP9087,HR,Male,44,11.2,907000.0,4,4,No,No,Bachelor's,No
EMP9088,Operations,Female,45,14.1,466000.0,1,5,Yes,Yes,Master's,Yes
EMP9089,Marketing,Male,21,5.1,616000.0,4,2,No,No,Bachelor's,No
EMP9090,Marketing,Female,46,7.0,2037000.0,4,3,No,No,Bachelor's,Yes
EMP9091,Finance,Female,22,2.7,2138000.0,1,2,No,No,Bachelor's,No
EMP9092,Marketing,Male,45,5.2,1859000.0,3,4,Yes,No,Bachelor's,No
EMP9093,HR,Female,32,14.3,1879000.0,2,5,No,No,Master's,No
EMP9094,Sales,Male,42,12.5,1567000.0,5,2,No,Yes,Master's,No
EMP9095,Finance,Female,32,6.2,855000.0,2,5,No,Yes,Bachelor's,No
EMP9096,Finance,Male,33,2.3,1110000.0,2,3,No,No,Master's,No
EMP9097,Sales,Female,21,11.1,1388000.0,5,4,No,No,Bachelor's,No
EMP9098,Customer Support,Female,30,8.7,1691000.0,3,2,No,Yes,Master's,No
EMP9099,Finance,Male,23,11.9,1007000.0,1,4,No,No,Master's,Yes
EMP9100,Finance,Male,24,7.8,1886000.0,4,2,Yes,Yes,Bachelor's,Yes
EMP9101,Customer Support,Female,44,12.4,2070000.0,2,2,Yes,Yes,Diploma,Yes
EMP9102,HR,Male,56,11.6,1162000.0,1,1,Yes,No,Master's,Yes
EMP9103,Operations,Female,32,8.8,2000000.0,2,2,No,No,Master's,No
EMP9104,Sales,Female,40,12.1,406000.0,2,4,No,Yes,Master's,No
EMP9105,HR,Female,41,3.5,589000.0,5,4,Yes,Yes,Diploma,Yes
EMP9106,Sales,Female,52,1.1,1113000.0,3,2,No,Yes,Bachelor's,No
EMP9107,HR,Male,39,3.6,1798000.0,4,3,Yes,Yes,Diploma,No
